index,new_url,old_url,img_url,name,position
5,prachuapkhirikhan2.mol.go.th,prachuapkhirikhan.mol.go.th,/sites/prachuapkhirikhan.mol.go.th/files/untitled-1.png,-,แรงงานจังหวัด
6,ayutthaya2.mol.go.th,ayutthaya.mol.go.th,/sites/ayutthaya.mol.go.th/files/hawhnaa_4.jpg,นายประพนธ์ ศิลปรัศมี,-
7,phetchaburi2.mol.go.th,phetchaburi.mol.go.th,/sites/pathumthani.mol.go.th/files/hn.wichaayruup_cchnth.ain_snng_0.jpg,นายวิชาญ  ม่วงใหม่,แรงงานจังหวัดเพชรบุรี
8,ratchaburi2.mol.go.th,ratchaburi.mol.go.th,/system/files/ruuphawhnaa2.jpg,-,-
9,lopburi2.mol.go.th,lopburi.mol.go.th,/sites/lopburi.mol.go.th/files/hn.tm__0.png,,แรงงานจังหวัดลพบุรี
10,samutprakan2.mol.go.th,samutprakan.mol.go.th,-,-,เมนูข้อมูล
11,samutsongkhram2.mol.go.th,samutsongkhram.mol.go.th,-,-,เมนูข้อมูล
12,samutsakhon2.mol.go.th,samutsakhon.mol.go.th,-,-,เมนูข้อมูล
13,saraburi2.mol.go.th,saraburi.mol.go.th,/sites/saraburi.mol.go.th/files/untitledaaraad-1.jpg,-,-
14,singburi2.mol.go.th,singburi.mol.go.th,/system/files/s_45907976.jpg,นางลัดดา  อุปสินธุ์,แรงงานจังหวัดสิงห์บุรี
15,suphanburi2.mol.go.th,suphanburi.mol.go.th,/system/files/naaychayys_yuuthraphy.jpg,นายชัยยศ อยู่ทรัพย์,แรงงานจังหวัดสุพรรณบุรี
16,angthong2.mol.go.th,angthong.mol.go.th,/sites/angthong.mol.go.th/files/rng_0.png,นางสาวธีรานาฏ ปิยวินท์,-
17,chanthaburi2.mol.go.th,chanthaburi.mol.go.th,/sites/chanthaburi.mol.go.th/files/ruuphn.png,แรงงานจังหวัดจันทบุรี,แรงงานจังหวัดจันทบุรี
18,chachoengsao2.mol.go.th,chachoengsao.mol.go.th,/sites/chachoengsao.mol.go.th/files/1_0.png, นายมาโนช แสงประเสริฐ ,แรงงานจังหวัดฉะเชิงเทรา
19,chonburi2.mol.go.th,chonburi.mol.go.th,-,-,ศูนย์ข้อมูลแรงงานระดับจังหวัด (ชลบุรี)
20,trat2.mol.go.th,trat.mol.go.th,/sites/trat.mol.go.th/files/untitled001_2_1.jpg,-,แรงงานจังหวัดตราด
21,nakhonnayok2.mol.go.th,nakhonnayok.mol.go.th,/sites/nakhonnayok.mol.go.th/files/ruuphawhnaasmchaay.jpg,นายสมชาย เอื้อจารุพร,แรงงานจังหวัดนครนายก
22,prachinburi2.mol.go.th,prachinburi.mol.go.th,/sites/prachinburi.mol.go.th/files/318.jpg,-,อัตราค่าจ้างขั้นต่ำ
23,rayong2.mol.go.th,rayong.mol.go.th,/sites/rayong.mol.go.th/files/11_0.jpg, ,แรงงานจังหวัดระยอง
24,sakaeo2.mol.go.th,sakaeo.mol.go.th,/sites/sakaeo.mol.go.th/files/images/jpg/1_4.jpg,นายสิทธิศักดิ์ ธารนัย,แรงงานจังหวัดสระแก้ว
25,kalasin2.mol.go.th,kalasin.mol.go.th,/sites/kalasin.mol.go.th/files/images/jpeg/suchaati.jpg,นายสุชาติ วิชชาวุธ,แรงงานจังหวัดกาฬสินธุ์
26,khonkaen2.mol.go.th,khonkaen.mol.go.th,/sites/khonkaen.mol.go.th/files/images/jpeg/up_web.jpg, ,-
27,chaiyaphum2.mol.go.th,chaiyaphum.mol.go.th,-,-,เมนูข้อมูล
28,nakhonphanom2.mol.go.th,nakhonphanom.mol.go.th,/sites/nakhonphanom.mol.go.th/files/images/jpeg/000000000000000.png,นายมนต์ชัย  เดชพล,แรงงานจังหวัดนครพนม
29,nakhonratchasima2.mol.go.th,nakhonratchasima.mol.go.th,/sites/nakhonratchasima.mol.go.th/files/phaaphrcch_1.jpg,-,แรงงานจังหวัด
30,buengkan2.mol.go.th,buengkan.mol.go.th,/sites/buengkan.mol.go.th/files/hnwisanti.png,-,แรงงานจังหวัดบึงกาฬ
31,buriram2.mol.go.th,buriram.mol.go.th,/sites/buriram.mol.go.th/files/binder2_0.jpg, ,-
32,mahasarakham2.mol.go.th,mahasarakham.mol.go.th,/sites/mahasarakham.mol.go.th/files/images/hn_0.jpg,-,แรงงานจังหวัด
33,mukdahan2.mol.go.th,mukdahan.mol.go.th,/sites/mukdahan.mol.go.th/files/ngaannamesn12.jpg,-,แรงงานจังหวัดมุกดาหาร
34,yasothon2.mol.go.th,yasothon.mol.go.th,/sites/yasothon.mol.go.th/files/rcch.2.jpg,-,แรงงานจังหวัดยโสธร
35,roiet2.mol.go.th,roiet.mol.go.th,-,-,เมนูข้อมูล
36,loei2.mol.go.th,loei.mol.go.th,/sites/loei.mol.go.th/files/images/srcch.png,นางสาวสุกัญญา องค์วิเศษไพบูลย์,แรงงานจังหวัดเลย
37,sisaket2.mol.go.th,sisaket.mol.go.th,/sites/sisaket.mol.go.th/files/hn_aetm_0.jpg,แรงงานจังหวัดศรีสะเกษ,แรงงานจังหวัดศรีสะเกษ
38,sakonnakhon2.mol.go.th,sakonnakhon.mol.go.th,/sites/sakonnakhon.mol.go.th/files/n.s.wiailwrrn_ethiiyngdaah.jpg,-,แรงงานจังหวัดสกลนคร
39,surin2.mol.go.th,surin.mol.go.th,/sites/surin.mol.go.th/files/img-160303173249-0001_1.jpg, นางอรวรรณ  หินตะ,แรงงานจังหวัดสุรินทร์
40,nongkhai2.mol.go.th,nongkhai.mol.go.th,/sites/nongkhai.mol.go.th/files/paaychuuehn.1jpg_0.jpg,-,แรงงานจังหวัดหนองคาย
41,nongbualamphu2.mol.go.th,nongbualamphu.mol.go.th,/sites/nongbualamphu.mol.go.th/files/images/jpg/rng_nph3.jpg,นายอำนาจ  เชิงไว ,แรงงานจังหวัดหนองบัวลำภู
42,amnatcharoen2.mol.go.th,amnatcharoen.mol.go.th,/sites/ubonratchathani.mol.go.th/files/banner/relatelink.png,-,-
43,udonthani2.mol.go.th,udonthani.mol.go.th,/sites/udonthani.mol.go.th/files/s_36364293.jpg,-,แรงานจังหวัดอุดรธานี
44,ubonratchathani2.mol.go.th,ubonratchathani.mol.go.th,/sites/ubonratchathani.mol.go.th/files/hubn.jpg,-,รง.อุบลราชธานี
45,kamphaengphet2.mol.go.th,kamphaengphet.mol.go.th,/sites/kamphaengphet.mol.go.th/files/00_0.jpg,,-
46,phetchabun2.mol.go.th,phetchabun.mol.go.th,/system/files/web_0.jpg,นายเอกพันธุ์  จิระสถิตย์,แรงงานจังหวัดเพชรบูรณ์
47,chiangrai2.mol.go.th,chiangrai.mol.go.th,/sites/chiangrai.mol.go.th/files/waang_0.jpg,-,แรงงานจังหวัดเชียงราย
48,chiangmai2.mol.go.th,chiangmai.mol.go.th,/sites/chiangmai.mol.go.th/files/srcchchm021.jpg,นายมนูญ สุขศรีจันทร์,แรงงานจังหวัดเชียงใหม่
49,tak2.mol.go.th,tak.mol.go.th,/sites/tak.mol.go.th/files/images/jpg/hawhnaa_1_3.jpg, ,-
50,nakhonsawan2.mol.go.th,nakhonsawan.mol.go.th,http://nakhonsawan.mol.go.th/sites/nakhonsawan.mol.go.th/files/img-170112111721-0001.jpg,,แรงงานจังหวัดนครสวรรค์
51,nan2.mol.go.th,nan.mol.go.th,/sites/nan.mol.go.th/files/jeeravud1_0.jpg,"นายจีรวุฒิ  กันทะมัง
แรงงานจังหวัดน่าน",-
52,phayao2.mol.go.th,phayao.mol.go.th,/sites/phayao.mol.go.th/files/img-180619112158-0001_1.jpg,  นางสุวรา  พงศ์ปัญญาเนตร,แรงงานจังหวัดพะเยา
53,phichit2.mol.go.th,phichit.mol.go.th,/sites/phichit.mol.go.th/files/355374_5.jpg,"นายสุชัย  ชาญวิกย์การ
แรงงานจังหวัดพิจิตร ",-
54,phitsanulok2.mol.go.th,phitsanulok.mol.go.th,/sites/phitsanulok.mol.go.th/files/images/15_2.png,-,-
55,phrae2.mol.go.th,phrae.mol.go.th,/sites/phrae.mol.go.th/files/attach/hn.praanii_0.jpg,นางสาวปราณี  ชลารักษ์,แรงงานจังหวัดแพร่
56,maehongson2.mol.go.th,maehongson.mol.go.th,-,-,เมนูข้อมูล
57,lampang2.mol.go.th,lampang.mol.go.th,/system/files/boss3_0.png,"
 นางจารุณี  เขมะรังษี
 แรงงานจังหวัดลำปาง",-
58,lamphun2.mol.go.th,lamphun.mol.go.th,-,                                                                                          ว่าง,แรงงานจังหวัดลำพูน
59,sukhothai2.mol.go.th,sukhothai.mol.go.th,/sites/sukhothai.mol.go.th/files/srcch.suokhthay_1.jpg,-,-
60,uttaradit2.mol.go.th,uttaradit.mol.go.th,/sites/uttaradit.mol.go.th/files/images/singphimph12.jpg,-,แรงงานจังหวัดอุตรดิตถ์
61,uthaithani2.mol.go.th,uthaithani.mol.go.th,-,-,เมนูข้อมูล
62,krabi2.mol.go.th,krabi.mol.go.th,/sites/krabi.mol.go.th/files/phancchaaekaiphthuury_new.png,,แรงงานจังหวัดกระบี่
63,chumphon2.mol.go.th,chumphon.mol.go.th,-,-,เมนูข้อมูล
64,trang2.mol.go.th,trang.mol.go.th,-,-,เมนูข้อมูล
65,nakhonsithammarat2.mol.go.th,nakhonsithammarat.mol.go.th,-,-,เมนูข้อมูล
66,narathiwat2.mol.go.th,narathiwat.mol.go.th,-,-,เมนูข้อมูล
67,pattani2.mol.go.th,pattani.mol.go.th,-,-,เมนูข้อมูล
68,phangnga2.mol.go.th,phangnga.mol.go.th,/sites/phangnga.mol.go.th/files/images/jpg/ruupaerngngaan.jpg,-,-
69,phatthalung2.mol.go.th,phatthalung.mol.go.th,/sites/phatthalung.mol.go.th/files/images/jpg/thameniiybhawhnaaaerngngaancchanghwadphathlung_copy_0.jpg,-,-
70,phuket2.mol.go.th,phuket.mol.go.th,/sites/phuket.mol.go.th/files/qr-codesamnakngaanaerngngaancchanghwadphuuekt.jpg,-,-
71,yala2.mol.go.th,yala.mol.go.th,/sites/yala.mol.go.th/files/000_0.jpg,นางสาวมาลี   ขวัญเจริญ,แรงงานจังหวัดยะลา
72,ranong2.mol.go.th,ranong.mol.go.th,/sites/ranong.mol.go.th/files/hawhnaa_0_0.jpg,สุรนารถ จิตต์เอื้อเฟื้อ,-
73,songkhla2.mol.go.th,songkhla.mol.go.th,/sites/songkhla.mol.go.th/files/images/ruupphaaph2.jpg,,แรงงานจังหวัดสงขลา
74,satun2.mol.go.th,satun.mol.go.th,/sites/satun.mol.go.th/files/ruuphawhnaa_3.png,-,-
75,suratthani2.mol.go.th,suratthani.mol.go.th,/sites/suratthani.mol.go.th/files/854777.jpg,-,แรงงานจังหวัด
